Start Date,Start Date,Start Time,Distance,Duration,W° of Start,N° of Start,W° of Finish,N° of Finish
Tuesday,21-8-2018,16:07,1.05,0:17,-85.43735,31.24985,-85.43018,31.25235
Tuesday,21-8-2018,17:31,1.18,0:04,-85.4299,31.25248,-85.43689,31.24964
Tuesday,21-8-2018,18:27,2.1,0:05,-85.43714,31.2498,-85.42214,31.23942
Tuesday,21-8-2018,20:12,2.29,0:07,-85.42172,31.23931,-85.43681,31.25012
Wednesday,22-8-2018,7:37,5.51,0:13,-85.43672,31.24973,-85.46467,31.31453
Wednesday,22-8-2018,11:03,5.53,0:12,-85.46467,31.31453,-85.43724,31.24984
Wednesday,22-8-2018,12:31,5.53,0:13,-85.43698,31.25,-85.46524,31.31445
Wednesday,22-8-2018,14:43,7.17,0:11,-85.46525,31.31432,-85.38104,31.26923
Wednesday,22-8-2018,15:18,4.5,0:29,-85.38105,31.26925,-85.43717,31.25026
Wednesday,22-8-2018,16:22,1.05,0:08,-85.43717,31.25026,-85.43011,31.25244
Wednesday,22-8-2018,17:39,1.2,0:08,-85.43011,31.25244,-85.43718,31.25028
Wednesday,22-8-2018,18:27,0.81,0:02,-85.43667,31.24997,-85.4351,31.23986
Wednesday,22-8-2018,19:31,0.84,0:04,-85.4351,31.23986,-85.43718,31.25028
Thursday,23-8-2018,7:31,5.52,0:17,-85.43718,31.25028,-85.46496,31.31435
Thursday,23-8-2018,13:44,5.49,0:15,-85.46496,31.31435,-85.43735,31.24983
Thursday,23-8-2018,14:12,4.46,0:08,-85.43735,31.24983,-85.38101,31.26928
Thursday,23-8-2018,17:57,4.5,0:07,-85.38102,31.26924,-85.43719,31.25023
Thursday,23-8-2018,18:42,3.23,0:12,-85.43719,31.25023,-85.43724,31.24984
Friday,24-8-2018,10:28,2.56,0:06,-85.43724,31.24984,-85.45123,31.22791
Friday,24-8-2018,11:09,6.92,0:15,-85.45123,31.22791,-85.38106,31.26926
Friday,24-8-2018,15:25,0.02,0:01,-85.38106,31.26926,-85.38088,31.26933
Friday,24-8-2018,15:29,4.5,0:09,-85.38097,31.2694,-85.4372,31.25026
Friday,24-8-2018,17:48,5,0:12,-85.43546,31.24928,-85.40228,31.20614
Friday,24-8-2018,21:51,0.05,0:01,-85.40228,31.20614,-85.40381,31.20676
Friday,24-8-2018,21:53,9.59,0:22,-85.40387,31.20676,-85.38277,31.26944
Friday,24-8-2018,22:33,4.6,0:08,-85.38277,31.26944,-85.43722,31.25027
Saturday,25-8-2018,16:47,3.77,0:08,-85.43681,31.24917,-85.46674,31.23277
Saturday,25-8-2018,17:19,3.08,0:09,-85.46674,31.23277,-85.43717,31.25025
Saturday,25-8-2018,19:04,4.64,0:10,-85.43696,31.25012,-85.48776,31.23607
Saturday,25-8-2018,21:21,4.71,0:09,-85.48776,31.23607,-85.43715,31.25021
Sunday,26-8-2018,8:54,0.99,0:03,-85.43715,31.25021,-85.4368,31.24011
Sunday,26-8-2018,11:28,0.94,0:05,-85.4368,31.24011,-85.43713,31.25021
Sunday,26-8-2018,15:59,2.47,0:08,-85.43713,31.25021,-85.43716,31.25022
Sunday,26-8-2018,17:02,2.47,0:07,-85.43666,31.24978,-85.43716,31.25024
Monday,27-8-2018,7:38,5.57,0:13,-85.43716,31.25024,-85.46463,31.31431
Monday,27-8-2018,10:45,4.14,0:09,-85.46463,31.31431,-85.44389,31.26622
Monday,27-8-2018,11:27,1.51,0:05,-85.44389,31.26622,-85.43721,31.24983
Monday,27-8-2018,12:36,5.92,0:15,-85.4371,31.24993,-85.46845,31.3151
Monday,27-8-2018,13:42,6.86,0:16,-85.46838,31.31457,-85.38103,31.26928
Monday,27-8-2018,17:51,4.5,0:10,-85.38111,31.26932,-85.43717,31.25025
Tuesday,28-8-2018,7:35,5.51,0:19,-85.43685,31.25001,-85.46469,31.31446
Tuesday,28-8-2018,13:43,6.66,0:11,-85.46469,31.31446,-85.38106,31.26928
Tuesday,28-8-2018,15:20,5.82,0:11,-85.38103,31.26964,-85.40946,31.22927
Tuesday,28-8-2018,15:52,2.75,0:08,-85.4096,31.22946,-85.43726,31.24982
Tuesday,28-8-2018,16:20,1.06,0:09,-85.43726,31.24982,-85.43003,31.25239
Tuesday,28-8-2018,17:43,1.2,0:05,-85.43013,31.25235,-85.43718,31.25028
Wednesday,29-8-2018,7:31,6.54,0:20,-85.43718,31.25028,-85.46517,31.3144
Wednesday,29-8-2018,10:41,23.89,0:54,-85.46517,31.3144,-85.3771,31.27146
Wednesday,29-8-2018,11:38,0.02,0:05,-85.3771,31.27146,-85.37705,31.27176
Wednesday,29-8-2018,11:44,7.3,0:50,-85.37705,31.27176,-85.46889,31.31515
Wednesday,29-8-2018,13:44,6.9,0:14,-85.46887,31.31516,-85.38096,31.26934
Wednesday,29-8-2018,15:18,5.61,0:27,-85.38096,31.26934,-85.40949,31.22927
Wednesday,29-8-2018,16:08,3.27,0:22,-85.40949,31.22927,-85.4302,31.2525
Wednesday,29-8-2018,17:33,1.2,0:05,-85.42997,31.25218,-85.43714,31.25023
Wednesday,29-8-2018,18:31,0.81,0:03,-85.43714,31.25023,-85.43527,31.23986
Wednesday,29-8-2018,19:32,0.84,0:03,-85.43509,31.23964,-85.43694,31.25014
Thursday,30-8-2018,7:35,5.52,0:12,-85.43694,31.25014,-85.46496,31.31442
Thursday,30-8-2018,10:42,4.19,0:09,-85.46496,31.31442,-85.44378,31.2663
Thursday,30-8-2018,11:35,1.52,0:04,-85.44378,31.2663,-85.43731,31.24983
Thursday,30-8-2018,12:28,5.52,0:12,-85.43731,31.24983,-85.46533,31.31447
Thursday,30-8-2018,13:42,6.68,0:11,-85.46533,31.31447,-85.38097,31.26925
Thursday,30-8-2018,17:46,4.51,0:10,-85.38097,31.26925,-85.43719,31.25026
Friday,31-8-2018,14:07,4.48,0:10,-85.43719,31.25026,-85.38103,31.26923
Friday,31-8-2018,15:41,4.49,0:11,-85.38103,31.26923,-85.43729,31.24982
Friday,31-8-2018,17:16,5.31,1:06,-85.43674,31.24948,-85.40367,31.20677
Friday,31-8-2018,22:15,7.18,0:14,-85.40367,31.20677,-85.38915,31.25539
Friday,31-8-2018,22:30,0.26,0:02,-85.38912,31.25536,-85.39017,31.25254
Friday,31-8-2018,22:33,1.55,0:13,-85.39018,31.25255,-85.38111,31.26915
Friday,31-8-2018,23:07,4.5,0:10,-85.38111,31.26915,-85.43719,31.25028
Monday,3-9-2018,13:46,2.91,0:09,-85.43688,31.24968,-85.45026,31.22753
Monday,3-9-2018,14:51,2.7,0:08,-85.45089,31.2276,-85.43714,31.25027
Monday,3-9-2018,20:31,2.6,0:05,-85.43689,31.24993,-85.45117,31.22814
Monday,3-9-2018,21:40,2.59,0:05,-85.45117,31.22814,-85.43702,31.25021
Tuesday,4-9-2018,7:25,5.51,0:27,-85.43702,31.25021,-85.46465,31.31453
Tuesday,4-9-2018,13:42,5.54,0:13,-85.46465,31.31453,-85.43725,31.24985
Tuesday,4-9-2018,14:13,4.46,0:09,-85.43725,31.24985,-85.38097,31.2696
Tuesday,4-9-2018,15:23,4.44,0:11,-85.38091,31.26988,-85.4373,31.24981
Tuesday,4-9-2018,16:17,1.05,0:12,-85.43705,31.24962,-85.43013,31.25236
Tuesday,4-9-2018,17:31,1.2,0:04,-85.43013,31.25236,-85.42895,31.25277
Tuesday,4-9-2018,17:31,1.2,0:04,-85.43013,31.25236,-85.43716,31.25023
Wednesday,5-9-2018,7:30,5.55,0:23,-85.43716,31.25023,-85.46538,31.3145
Wednesday,5-9-2018,10:43,20.24,1:03,-85.46538,31.3145,-85.43728,31.24988
Wednesday,5-9-2018,12:25,5.53,0:21,-85.43728,31.24988,-85.46521,31.31444
Wednesday,5-9-2018,13:39,6.68,0:27,-85.46515,31.31418,-85.38101,31.26926
Wednesday,5-9-2018,15:18,6.37,0:21,-85.38101,31.26926,-85.43732,31.24988
Wednesday,5-9-2018,16:22,1.06,0:04,-85.43732,31.24988,-85.43016,31.25237
Wednesday,5-9-2018,17:53,2.69,0:07,-85.43016,31.25237,-85.43525,31.23966
Wednesday,5-9-2018,19:37,0.83,0:03,-85.43525,31.23966,-85.43716,31.25022
Thursday,6-9-2018,7:34,5.65,0:20,-85.43707,31.24986,-85.46469,31.31449
Thursday,6-9-2018,10:44,4.17,0:08,-85.46469,31.31449,-85.44379,31.26628
Thursday,6-9-2018,11:31,5.73,0:14,-85.44358,31.26625,-85.43737,31.24982
Thursday,6-9-2018,12:28,5.73,0:12,-85.43692,31.24952,-85.46856,31.31495
Thursday,6-9-2018,13:45,6.86,0:29,-85.46889,31.31464,-85.38104,31.26926
Thursday,6-9-2018,17:52,4.85,0:16,-85.38104,31.26926,-85.43721,31.25031
Friday,7-9-2018,13:47,6.13,0:15,-85.43721,31.25031,-85.52371,31.23822
Friday,7-9-2018,14:57,0.64,0:02,-85.52357,31.23843,-85.52441,31.23735
Friday,7-9-2018,15:01,6.26,0:13,-85.52441,31.23735,-85.43731,31.24983
Friday,7-9-2018,16:28,5.98,0:31,-85.43721,31.24985,-85.37863,31.21439
Friday,7-9-2018,18:04,6.91,0:25,-85.37863,31.21439,-85.44715,31.26806
Friday,7-9-2018,19:22,13.95,0:53,-85.44715,31.268,-85.43715,31.25023
Friday,7-9-2018,20:28,0.75,0:03,-85.43715,31.25023,-85.43205,31.25883
Friday,7-9-2018,20:40,0.76,0:04,-85.43205,31.25883,-85.43718,31.25022
Saturday,8-9-2018,7:29,4.52,0:13,-85.43719,31.25031,-85.38027,31.26806
Saturday,8-9-2018,12:24,4.54,0:08,-85.37963,31.26803,-85.43719,31.25025
Sunday,9-9-2018,18:53,5.79,0:17,-85.43686,31.24966,-85.48779,31.23604
Sunday,9-9-2018,20:39,4.7,0:15,-85.48731,31.23617,-85.43718,31.25032
Monday,10-9-2018,7:28,5.53,0:22,-85.43708,31.2502,-85.4653,31.31441
Monday,10-9-2018,10:43,5.51,0:12,-85.46521,31.31428,-85.43735,31.24993
Monday,10-9-2018,12:33,5.51,0:13,-85.43735,31.24993,-85.46468,31.31449
Monday,10-9-2018,13:45,8.69,0:16,-85.46468,31.31449,-85.38105,31.26966
